id;title
pkaw;Pacific Rim Knowledge Acquisition Workshop (PKAW)
iics;International Conference on Innovations for Community Services (I4CS)
ross-ws;International Workshop on Runtime and Operating Systems for Supercomputers (ROSS)
middleware;International Middleware Conference (Middleware)
acl-alw;Workshop on Online Abuse and Harms (WOAH)
plop;Conference on Pattern Languages of Programs (PLoP)
multitemp;International Workshop on the Analysis of Multitemporal Remote Sensing Images (MultiTemp)
wcre;IEEE International Conference on Software Analysis Evolution and Reengineering (SANER)
infovis;IEEE Information Visualization Conference (InfoVis)
amcs;Algorithmic Mathematics and Computer Science (AMCS)
spieSR;Storage and Retrieval Methods and Applications for Multimedia
alpit;Advanced Language Processing and Web Information Technology (ALPIT)
fosad;Foundations of Security Analysis and Design (FOSAD)
dbcrowd;VLDB Workshop on Databases and Crowdsourcing (DBCrowd)
ihc;Simpósio Brasileiro de Fatores Humanos em Sistemas Computacionais (IHC)
vehits;International Conference on Vehicle Technology and Intelligent Transport Systems (VEHITS)
icse-qse;Workshop on Quantum Software Engineering (Q-SE)
fimi;Workshop on Frequent Itemset Mining Implementations (FIMI)
ies2;Asia Pacific Symposium on Intelligent and Evolutionary Systems (IES)
icac;IEEE International Conference on Autonomic Computing (ICAC)
imbsa;Model-Based Safety and Assessment (IMBSA)
isdt;International Symposium on Domain Theory and Its Applications (ISDT)
itbam;Information Technology in Bio- and Medical Informatics (ITBAM)
isd2;Image Schema Day (ISD)
hworkload;International Symposium on Human Mental Workload (H-WORKLOAD)
hotswup;Workshop on Hot Topics in Software Upgrades (HotSWUp)
egose;International Conference on Electronic Governance and Open Society (EGOSE)
sicherheit;Sicherheit
bs;Workshop on Buffer Sizing (BS)
gis;ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems (GIS)
hpcasia;International Conference on High Performance Computing in Asia-Pacific Region (HPC Asia)
iwsec;International Workshop on Security (IWSEC)
mie;Medical Informatics Europe (MIE)
swap;Semantic Web Applications and Perspectives (SWAP)
auisc;Australasian Information Security Conference (AISC)
ivs2;Chinese Conference on Intelligent Visual Surveillance (IVS)
iscis;International Symposium on Computer and Information Sciences (ISCIS)
iciap;International Conference on Image Analysis and Processing (ICIAP)
dsde;Data Storage and Data Engineering (DSDE)
itw;Information Theory Workshop (ITW)
mmsec;Too Many Requests
wsa;International ITG Workshop on Smart Antennas (WSA)
hdsda;High Dimensional and Symbolic Data Analysis (HDSDA)
socpros;International Conference on Soft Computing for Problem Solving (SocProS)
vissoft;IEEE Working Conference on Software Visualization (VISSOFT)
itng;International Conference on Information Technology New Generations (ITNG)
amr;Adaptive Multimedia Retrieval (AMR)
valuetools;International Conference on Performance Evaluation Methodolgies and Tools (VALUETOOLS)
ista;International United Information Systems Conference (UNISCON)
selfman;Self-Managed Networks Systems and Services (SelfMan)
iccma;International Conference on Control Mechatronics and Automation (ICCMA)
iintec;International Conferences on Internet of Things Embedded Systems and Communications (IINTEC)
eurovr;International Conference on Virtual Reality and Mixed Reality (EuroXR)
icss2;Industrial Control System Security Workshop (ICSS)
ic3;International Conference on Contemporary Computing (IC3)
mwscas;Midwest Symposium on Circuits and Systems (MWSCAS)
hucapp;International Conference on Human Computer Interaction Theory and Applications (HUCAPP)
membrane;International Conference on Membrane Computing (CMC)
wdia;International Workshop on Advances in Depth Image Analysis and Applications (WDIA)
cchi;International Symposium of Chinese CHI (CCHI)
ittap;International Workshop on Information Technologies Theoretical and Applied Problems (ITTAP)
wise;International Conference on Web Information Systems Engineering (WISE)
cnl;Controlled Natural Language (CNL)
acl-convai;Workshop on NLP for Conversational AI (CovAI)
iwcf;International Workshop on Computational Forensics (IWCF)
cp;International Conference on Principles and Practice of Constraint Programming (CP)
gascom;International Conference on Random and Exhaustive Generation of Combinatorial Structures (GASCom)
ais2;Autonomous and Intelligent Systems (AIS)
ola;International Conferences on Optimization and Learning (OLA)
wisa;International Conference on Information Security Applications (WISA)
bibe;IEEE International Conference on Bioinformatics and Bioengineering (BIBE)
IEEEcsc;International Conference on Cloud and Service Computing (CSC)
erlang;Erlang Workshop (Erlang)
ysip;Young Scientists International Workshop on Trends in Information Processing (YSIP)
isicir;International Symposium on Integrated Circuits (ISIC)
intsol;International Scientific Symposium Intelligent Solutions (IntSol)
cavs;Connected and Automated Vehicles Symposium (CAVS)
aic;International Workshop on Artificial Intelligence and Cognition (AIC)
eis;Conference on Enterprise Information Systems (EIS)
ewmf;European Web Mining Forum (EWMF)
intenv;International Conference on Intelligent Environments (IE)
geos;International Conference on GeoSpatial Semantics (GeoS)
semco;IEEE International Conference on Semantic Computing (ICSC)
eurosys;European Conference on Computer Systems (EuroSys)
iolts;IEEE International Symposium on On-Line Testing and Robust System Design (IOLTS)
IEEEwisa;Web Information System and Application Conference (WISA)
cits;International Conference on Computer Information and Telecommunication Systems (CITS)
tapas2;ACM SIGPLAN International Workshop on Tools for Automatic Program Analysis (TAPAS)
edutainment;International Conference on E-learning and Games (Edutainment)
cics;IEEE Symposium on Computational Intelligence in Cyber Security (CICS)
ssct;Sustainable Smart Cities and Territories International Conference (SSCT)
vast;Eurographics Workshop on Graphics and Cultural Heritage (GCH)
cets;Conference on E-business Technology and Strategy (CETS)
ifachms;IFAC/IFIP/IFORS/IEA Symposium on Analysis Design and Evaluation of Human-Machine Systems (IFAC HMS)
iddm;International Workshop on Informatics & Data-Driven Medicine (IDDM)
avbpa;International Conference on Audio- and Video-Based Biometric Person Authentication (AVBPA)
nspw;New Security Paradigms Workshop (NSPW)
raad;International Conference on Robotics in Alpe-Adria-Danube Region (RAAD)
mva;IAPR International Workshop on Machine Vision Applications (MVA)
msv;International Conference on Modeling Simulation & Visualization Methods (MSV)
istc;International Symposium on Topics in Coding / International Symposium on Turbo Codes and Iterative Information Processing (ISTC)
bdim;International Workshop on Business-Driven IT Management (BDIM)
haw;Facing the Multicore-Challenge
icdpa;International Conference on Data Processing and Applications (ICDPA )
vietcrypt;International Conference on Cryptology in Vietnam (VIETCRYPT)
biosurveillance;International Workshop on Biosurveillance and Biosecurity (BioSecure)
humo;Workshop on Human Motion (HUMO)
ifip8-6;IFIP TC8/WG8.6 Publications
biocas;IEEE Biomedical Circuits and Systems Conference (BioCAS)
hpc2;International Conference on High Performance Computing (HPC)
plateau;Workshop on Evaluation and Usability of Programming Languages and Tools (PLATEAU)
icbc2;IEEE International Conference on Blockchain and Cryptocurrency (ICBC)
wcci;IEEE World Congress on Computational Intelligence (WCCI)
pkdd;European Conference on Principles of Data Mining and Knowledge Discovery (PKDD)
eusflat;European Society for Fuzzy Logic and Technology (EUSFLAT)
saicsit;Research Conference of the South African Institute of Computer Scientists and Information Technologists (SAICSIT)
csa;Communication Systems and Applications (CSA)
issoc;International Symposium on System-on-Chip (SoC)
stringology;Prague Stringology Conference (PSC)
popl;ACM-SIGACT Symposium on Principles of Programming Languages (POPL)
parco;International Conference on Parallel Computing (PARCO)
eais;IEEE Conference on Evolving and Adaptive Intelligent Systems (EAIS)
ausgrid;Australasian Symposium on Grid Computing and e-Research (AusGrid)
ircdl;Italian Research Conference on Digital Library Management Systems (IRCDL)
wimbi;Web Intelligence Meets Brain Informatics (WImBI)
dais;IFIP International Conference on Distributed Applications and Interoperable Systems (DAIS)
vikingplop;Nordic Conference on Pattern Languages of Programs (VikingPLoP)
ficloud;International Conference on Future Internet of Things and Cloud (FiCloud)
aciids;Asian Conference on Intelligent Information and Database Systems (ACIIDS)
icebt;International Conference on E-Education E-Business and E-Technology (ICEBT)
cvhi;Conference and Workshop on Assistive Technology for People with Vision and Hearing Impairments (CVHI)
iat;ACM International Conference on International Agent Technology (IAT)
apia;Conférence Nationale sur les Applications Pratiques de lIntelligence Artificielle (APIA)
chdd;International Workshop on Clustering High-Dimensional Data (CHDD)
aiss;International Conference on Advanced Information Science and System (AISS)
atis;International Conference on Applications and Techniques in Information Security (ATIS)
ijcci;International Joint Conference on Computational Intelligence (IJCCI)
sigdial;SIGdial Meetings (SIGDIAL)
tale;International Conference on Teaching Assessment and Learning for Engineering (TALE)
acsd;International Conference on Application of Concurrency to System Design (ACSD)
seta;Sequences and Their Applications (SETA)
ihm;Interaction Homme-Machine (IHM)
at;International Conference on Agreement Technologies (AT)
itqm;International Conference on Information Technology and Quantitative Management (ITQM)
octa;Multi-Conference on Organization of Knowledge and Advanced Technologies (OCTA)
fnc;International Conference on Future Networks and Communications (FNC)
secnet;International Conference on Advances in Security of Information and Communication Networks (SecNet)
icdsc;ACM/IEEE International Conference on Distributed Smart Cameras (ICDSC)
wcc;International Workshop on Coding and Cryptography (WCC)
iwnc;International Workshop on Natural Computing (IWNC)
imcl;Conference on Interactive Mobile Communication Technologies and Learning (IMCL)
ifip6-3;Sustainable Internet and ICT for Sustainability (SustainIT)
dappcon;IEEE International Conference on Decentralized Applications and Infrastructures (DAPPS)
esop;European Symposium on Programming (ESOP)
cybconf;International Conference on Cybernetics (CYBCONF)
wsr;Workshop Software Reengineering
fgcn;International Conference on Future Generation Communication and Networking (FGCN)
cloudcom;International Conference on Cloud Computing (CloudCom)
dlfm;International Workshop on Digital Libraries for Musicology (DLfM)
iniscom;International Conference on Industrial Networks and Intelligent Systems (INISCOM)
forc;Symposium on Foundations of Responsible Computing (FORC)
cdssk;International Conference Common Digital Space of Scientific Knowledge Problems & Solutions (CDSSK)
fmics;International Workshop on Formal Methods for Industrial Critical Systems (FMICS)
scala-ws;Workshop on Latest Advances in Scalable Algorithms for Large-Scale Systems (ScalA)
netcom;International Conference on Networks and Communications (NetCoM)
3dtv;3DTV-Conference (3DTV)
spects;International Symposium on Performance Evaluation of Computer and Telecommunication Systems (SPECTS)
pahi;European Workshop on Practical Aspects of Health Informatics (PAHI)
erf;European Robotics Forum (ERF)
gw;Gesture Workshop (GW)
norcas;IEEE Nordic Circuits and Systems Conference (NORCAS)
ccks;China Conference on Knowledge Graph and Semantic Computing (CCKS)
ica2;International Conference on Agents (ICA)
rfidsec;Workshop on RFID and IoT Security (RFIDSec)
gecon;Grid Economics and Business Models (GECON)
aiide;AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment Conference (AIIDE)
fecs;Frontiers in Education Computer Science & Computer Engineering (FECS)
icfsp;International Conference on Frontiers of Signal Processing (ICFSP)
ecoop;European Conference on Object-Oriented Programming (ECOOP)
coin-ws;International Workshop on Coordination Organizations Institutions and Norms in Agent Systems (COIN)
itas;Symposium on Information Technologies & Applied Sciences (IT&AS)
wmash;Wireless Mobile Applications and Services on WLAN Hotspots (WMASH)
ausdm;Australasian Data Mining Conference (AusDM)
owled;W3C Web Ontology Language (OWL) Experiences and Directions Workshop (OWLED)
fat;ACM Conference on Fairness Accountability and Transparency (FAccT)
nordichi;Nordic Conference on Human-Computer Interaction (NordiCHI)
iwlcs;Int. Workshop on Learning Classifier Systems
chinagrid;ChinaGrid (ChinaGrid)
jcc-bd;Conference on Cloud Computing & Big Data (JCC&BD)
damon;International Workshop on Data Management on New Hardware (DaMoN)
gi;Jahrestagung der Gesellschaft für Informatik (INFORMATIK)
iwdw;International Workshop on Digital Watermarking (IWDW)
plc;International Conference on Programming Languages and Compilers (PLC)
icawst;International Conference on Awareness Science and Technology (iCAST)
acri;International Conference on Cellular Automata for Research and Industry (ACRI)
vipc;Visual Information Processing and Communication
cbdar;International Workshop on Camera-Based Document Analysis and Recognition (CBDAR)
xcr;XChange Reality! (XCR)
ebusiness;Paderborner Frühjahrstagung (PBFT)
caan;Combinatorial and Algorithmic Aspects of Networking (CAAN)
algosensors;Algorithmic Aspects of Wireless Sensor Networks (ALGOSENSORS)
csoc;Computer Science On-line Conference (CSOC)
mssp;International Workshop on Mobile Social Signal Processing (MSSP)
hotp2p;International Workshop on Hot Topics in Peer-to-Peer Systems (HOT-P2P)
eiswt;Enterprise Information Systems and Web Technologies (EISWT)
agtive;Applications of Graph Transformations with Industrial Relevance (AGTIVE)
afcai;Workshop on Affective Computing and Context Awareness in Ambient Intelligence (AfCAI)
tafa;International Workshop on Theorie and Applications of Formal Argumentation (TAFA)
icisp;International Conference on Image and Signal Processing (ICISP)
spc;International Conference on Security in Pervasive Computing (SPC)
lsfa;Workshop on Logical and Semantic Frameworks with Applications (LSFA)
ifuzzy;International Conference on Fuzzy Theory and Its Applications (iFUZZY)
icse-deeptest;Workshop on Deep Learning for Testing and Testing for Deep Learning (DeepTest)
egc;European Grid Conference (EGC)
isddc;International Conference on Intelligent Secure and Dependable Systems in Distributed and Cloud Environments (ISDDC)
lkr;Large-Scale Knowledge Resources (LKR)
cogart;International Conference on Cognitive Radio and Advanced Spectrum Management (CogART)
mhv;Mile-High Video Conference (MHV)
isbi;IEEE International Symposium on Biomedical Imaging (ISBI)
issep;International Conference on Informatics in Secondary Schools (ISSEP)
coregrid;CoreGRID Workshops (CoreGRID)
hcse;International Conference on Human-Centered Software Engineering (HCSE)
data2;International Conference on Data Science E-Learning and Information Systems (DATA)
mobiquitous;International Conference on Mobile and Ubiquitous Systems Networking and Services (MobiQuitous)
apocs;SIAM Symposium on Algorithmic Principles of Computer Systems (APOCS)
mmedia;International Conference on Advances in Multimedia (MMEDIA)
mmb;Messung Modellierung und Bewertung von Rechen- und Kommunikationssystemen (MMB)
mchpc;Workshop on Memory Centric High Performance Computing (MCHPC)
services2;International Conference on Metaverse (METAVERSE)
icaa2;International Conference on Assured Autonomy (ICAA)
gldv;German Society for Computational Linguistics (GSCL)
nafips;Annual Conference on the North American Fuzzy Information Processing Society (NAFIPS)
rie;Robotics in Education (RiE )
latincrypt;International Conference on Cryptology and Information Security in Latin America (LATINCRYPT)
recombcg;RECOMB Comparative Genomics Satellite Conference (RECOMB-CG)
sma;Symposium on Solid and Physical Modeling (SPM)
icdsp;International Conference on Digital Signal Processing (DSP)
psyco;International Workshop on Periodic Control Systems (PSYCO)
p3hpc-ws;International Workshop on Performance Portability and Productivity in HPC (P3HPC)
acmpt;International Conference on Analytical and Computational Methods in Probability Theory (ACMPT)
padl;Too Many Requests
eurongi;EuroNGI Wireless Systems and Mobility Workshop
ieeecmc;International Conference on Communications and Mobile Computing (CMC)
skm;Secure Knowledge Management (SKM)
sigcomm;Conference on Applications Technologies Architectures and Protocols for Computer Communication (SIGCOMM)
ngca;Conference on Novel Gaze-Controlled Applications (NGCA)
iti2;International Conference Information Technology and Interactions (IT&I)
farm;ACM SIGPLAN International Workshop on Functional Art Music Modelling and Design (FARM)
cpm;Annual Symposium on Combinatorial Pattern Matching (CPM)
isca;International Symposium on Computer Architecture (ISCA)
africatek;International Conference on Emerging Technologies for Developing Countries (AFRICATEK)
jelia;European Conference on Logics in Artificial Intelligence (JELIA)
lpar;International Conference on Logic Programming and Automated Reasoning (LPAR)
adcons;International Conference on Advanced Computing Networking and Security (ADCONS)
ishpc;International Symposium on High Performance Computing (ISHPC)
vluds;Visualization of Large and Unstructured Data Sets (VLUDS)
teletraffic;International Teletraffic Congress (ITC)
ccp;International Conference on Data Compression Communications and Processing (CCP)
cidm;IEEE Symposium on Computational Intelligence and Data Mining (CIDM)
nof;International Conference on Network of the Future (NOF)
networds;The European Network on Word Structure (NetWordS)
nlucs;International Workshop on Natural Language Processing and Cognitive Science (NLPCS)
wilf;International Workshop on Fuzzy Logic and Applications (WILF)
iscisc;ISC Conference on Information Security and Cryptology (ISCISC)
jisbd;Jornadas de Ingeniería del Software y Bases de Datos (JISBD)
ssip;International Conference on Sensors Signal and Image Processing (SSIP)
apgv;ACM Symposium on Applied Perception (SAP)
clin;Computational Linguistics in the Netherlands (CLIN)
vric;Virtual Reality International Conference (VRIC)
mrs;International Symposium on Multi-Robot and Multi-Agent Systems (MRS)
camad;IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD)
sbac-pad;Symposium on Computer Architecture and High Performance Computing (SBAC-PAD)
iita;Intelligent Information Technology Application (IITA)
critis;Critical Information Infrastructures Security (CRITIS)
iske;International Conference on Intelligent Systems and Knowledge Engineering (ISKE)
cive;IEEE Workshop on Computational Intelligence in Virtual Environments (CIVE)
cpaior;Integration of AI and OR Techniques in Constraint Programming (CPAIOR)
prima;International Conference on Principles and Practice of Multi-Agent Systems (PRIMA)
icct;International Conference on Communication Technology (ICCT)
coinco;IEEE International Conference on Collaboration and Internet Computing (CIC)
wetseb-ws;International Workshop on Emerging Trends in Software Engineering for Blockchain (WETSEB)
mirage;International Conference on Computer Vision/Computer Graphics Collaboration Techniques (MIRAGE)
ace;Australasian Computing Education Conference (ACE)
dagm;German Conference on Pattern Recognition (GCPR)
mesas;International Workshop on Modelling and Simulation for Autonomous Systems (MESAS)
foal;Workshop on Foundations of Aspect-Oriented Languages (FOAL)
bdet;International Conferences on Big Data Engineering and Technology (BDET)
benevol;BElgian-NEtherlands software eVOLution symposium (BENEVOL)
tsp;International Conference on Telecommunications and Signal Processing (TSP)
green;International Green and Sustainable Computing Conference (IGSC)
lion;Learning and Intelligent Optimization (LION)
lit;Leipziger Informatik-Tage (LIT)
lopal;International Conference on Learning and Optimization Algorithms (LOPAL)
quacon;Quality of Context (QuaCon)
smt;International Workshop on Satisfiability Modulo Theories (SMT)
aaim;Algorithmic Applications in Management (AAIM)
icrmat;International Conference on Research in Management & Technovation (ICRMAT)
romoco;International Workshop on Robot Motion and Control (RoMoCo)
semweb;International Semantic Web Conference (ISWC)
ecir;European Conference on Information Retrieval (ECIR)
cswws;Canadian Semantic Web Working Symposium (CSWWS)
isctcs;International Standard Conference of Trustworthy Computing and Services (ISCTCS)
fomi;Formal Ontologies Meet Industry (FOMI)
carla;Latin American Conference on High Performance Computing (CARLA)
accessnets;International Conference on Access Networks (AccessNets)
cap;International Workshop on Computer Algebra and Parallelism (CAP)
icbo;International Conference on Biomedical Ontology (ICBO)
dalt;International Workshop on Declarative Agent Languages and Technologies (DALT)
vvg;International Conference on Vision Video and Graphics (VVG)
icicdt;International Conference on IC Design & Technology (ICICDT)
inss;International Conference on Networked Sensing Systems (INSS)
icicis;International Conference on the Internet Cyber Security and Information Systems (ICICIS)
mlicom;International Conference on Machine Learning and Intelligent Communications (MLICOM)
birte;Business Intelligence for the Real-Time Enterprises (BIRTE)
ase-bigdata;ASE BigData & SocialInformatics (ASE BD&SI)
npc;IFIP International Conference on Network and Parallel Computing (NPC)
fmec;International Conference on Fog and Mobile Edge Computing (FMEC)
ciia;Conférence Internationale sur lInformatique et ses Applications (CIIA)
pervasive;International Conference on Pervasive Computing (Pervasive)
acl-bsnlp;Workshop on Balto-Slavic Natural Language Processing (BSNLP)
vrcai;International Conference on Virtual Reality Continuum and its Applications in Industry (VRCAI)
ssd;International Symposium on Spatial and Temporal Databases (SSTD)
acivs;Advanced Concepts for Intelligent Vision Systems Conference (ACIVS)
iva;International Conference on Intelligent Virtual Agents (IVA)
icccrea;International Conference on Computational Creativity (ICCC)
edbt;International Conference on Extending Database Technology (EDBT)
ices;International Conference on Evolvable Systems (ICES)
imis;International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing (IMIS)
paste;Workshop on Program Analysis For Software Tools and Engineering (PASTE)
aois;Agent-Oriented Information Systems Workshop (AOIS)
iccs-de;International Workshop on Information Computation and Control Systems for Distributed Environments (ICCS-DE)
gem;International Conference on Genetic and Evolutionary Methods (GEM)
ipres;International Conference on Digital Preservation (iPRES)
ssrr;IEEE International Symposium on Safety Security and Rescue Robotics (SSRR)
atacss;International Conference on Application and Theory of Automation in Command and Control Systems (SNDS)
bife;Business Intelligence and Financial Engineering (BIFE)
normas;International Workshop on Normative Multiagent Systems (NORMAS)
worldcist;WorldCIST
vamos;International Working Conference on Variability Modelling of Software-Intensive Systems (VaMoS)
iberamia;Ibero-American Conference on AI (IBERAMIA)
cloud2;International Conference on Cloud Computing Services Society (CLOUD)
sasp;IEEE Symposium on Application Specific Processors (SASP)
essv;Conference on Electronic Speech Signal Processing (ESSV)
websci;Web Science Conference (WebSci)
tamoco;Techniques and Applications for Mobile Commerce (TAMoCo)
ppsn;Parallel Problem Solving from Nature (PPSN)
percom;Annual IEEE International Conference on Pervasive Computing and Communications (PerCom)
sam;System Analysis and Modeling (SAM)
hrpr;International Conference on Human-Robot Personal Relationships (HRPR)
cssw;Conference on Social Semantic Web (CSSW)
icalt;International Conference on Advanced Learning Technologies (ICALT)
cwit;Canadian Workshop on Information Theory (CWIT)
chitaly;ACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction (CHItaly)
radioelektronika;International Conference Radioelektronika  (RADIOELEKTRONIKA)
unet;International Symposium on Ubiquitous Networking (UNet)
propor;International Conference on Computational Processing of the Portuguese Language (PROPOR)
sui;Symposium on Spatial User Interaction (SUI)
3dim;International Conference on 3D Vision (3DV)
aes;AES (Candidate) Conference (AES)
r3geo;International Workshop on R3 in Geomatics (R3GEO)
cui;International Conference on Conversational User Interfaces (CUI)
africacrypt;International Conference on Cryptology in Africa (AFRICACRYPT)
lpkm;Conference on Language Processing and Knowledge Management (LPKM)
fm;International Symposium on Formal Methods (FM)
cbms;IEEE Symposium on Computer-Based Medical Systems (CBMS)
ium;International Symposium on Integrated Uncertainty Management and Applications (IUM)
gski;Geo-Spatial Knowledge and Intelligence
ahs;NASA/ESA Conference on Adaptive Hardware and Systems (AHS)
ifip3-2;IFIP TC3/WG3.2 Publications
ctic;International Workshop on Computational Topology in Image Context (CTIC)
lernet;LerNet ALFA Project (LerNet ALFA)
twsdetection;Machine Learning for Trend and Weak Signal Detection in Social Networks and Social Media (TWSDetection)
dtis;International Conference on Design & Technology of Integrated Systems in Nanoscale Era (DTIS)
igarss;IEEE International Geoscience and Remote Sensing Symposium (IGARSS)
icca;International Conference on Control and Automation (ICCA)
beliv;Workshop on Beyond Time and Errors Novel Evaluation Methods for Visualization (BELIV)
sagt;Algorithmic Game Theory (SAGT)
pac;IEEE Symposium on Privacy-Aware Computing (PAC)
dhn;Digital Humanities in the Nordic and Baltic Countries Conference (DHNB)
afrigraph;International Conference on Computer Graphics Virtual Reality Visualisation and Interaction in Africa (Afrigraph)
mlcw;Machine Learning Challenges Workshop (MLCW)
iccsp;International Conference on Cryptography Security and Privacy (CSP)
iceel;International Conference on Education and E-Learning (ICEEL)
ausforensics;Australian Computer Network & Information Forensics Conference
etelemed;International Conference on eHealth Telemedicine and Social Medicine (eTELEMED)
aike;International Conference on Artificial Intelligence and Knowledge Engineering (AIKE)
scds;International Conference on Soft Computing in Data Science (SCDS)
idmb;International Conference on Data Science Medicine and Bioinformatics (IDMB)
slt;Spoken Language Technology Workshop (SLT)
ldic;International Conference on Dynamics in Logistics (LDIC)
ease;International Conference on Evaluation & Assessment in Software Engineering (EASE)
histocrypt;International Conference on Historical Cryptology (HistoCrypt)
opaals;Open Philosophies for Associative Autopoietic Digital Ecosystems (OPAALS)
mmsys;ACM SIGMM Conference on Multimedia Systems (MMSys)
ewdts;East-West Design & Test Symposium (EWDTS)
bic-ta;International Conference on Bio-Inspired Computing Theories and Applications (BIC-TA)
fmmb;International Conference on Formal Methods in Macro-Biology (FMMB)
iccchina;IEEE International Conference on Communications in China (ICCC)
spaca;AAAI Symposium on Survival Prediction - Algorithms Challenges and Applications (SPACA)
csmr;European Conference on Software Maintenance and Reengineering (CSMR)
isvd;International Symposium on Voronoi Diagrams in Science and Engineering (ISVD)
wafr;Workshop on the Algorithmic Foundations of Robotics (WAFR)
fc;Financial Cryptography and Data Security (FC)
tencon;IEEE Region 10 Conference (TENCON)
ro;Workshop on Research Objects (RO)
cibci;IEEE Symposium on Computational Intelligence in Brain Computer Interfaces (CIBCI)
replication;Replication
ifsa;International Fuzzy Systems Association World Congress (IFSA)
spatialCognition;Spatial Cognition
bigdatasec;IEEE International Conference on Big Data Security on Cloud (BigDataSecurity)
icmip;International Conference on Multimedia and Image Processing (ICMIP)
icess;International Conference on Embedded Software and Systems (ICESS)
asms-spsc;Advanced Satellite Multimedia Systems Conference / Signal Processing for Space Communications Workshop (ASMS/SPSC)
euromicro;EUROMICRO Conference on Software Engineering and Advanced Applications (SEAA)
sisw;IEEE Security in Storage Workshop (SISW)
kframework;International Workshop on the K Framework and its Applications (K)
laptec;Congress on Logic Applied to Technology (LAPTEC)
mmics;Mathematical Methods in Computer Science (MMICS)
dls;Dynamic Languages Symposium (DLS)
hotstorage;USENIX Workshop on Hot Topics in Storage and File Systems (HotStorage)
delfi;Fachtagung Bildungstechnologien der Gesellschaft für Informatik (DeLFI)
scored;Workshop on Software Supply Chain Offensive Research and Ecosystem Defenses (SCORED)
acl-pwnlp;Workshop on the Peoples Web Meets NLP
sspra;Signal Processing Pattern Recognition and Applications (SPPRA)
tsa;International Conference on Trustworthy Systems and their Applications (TSA)
medaded;International Workshop on Medication and Adverse Drug Event Detection
acirs;Asia-Pacific Conference on Intelligent Robot Systems (ACIRS)
ict4da;EAI International Conference on ICT for Development for Africa (ICT4DA)
cicc;IEEE Custom Integrated Circuits Conference (CICC)
ichi;IEEE International Conference on Healthcare Informatics (ICHI)
amihealth;International Conference on Ambient Intelligence for Health (AmIHEALTH)
africhi;African Conference on Human Computer Interaction (AfriCHI)
anb;International Conference on Algebraic and Numeric Biology (ANB)
iwsds;International Workshop on Spoken Dialogue Systems Technology (IWSDS)
cocoa;International Conference on Combinatorial Optimization and Applications (COCOA)
interspeech;Conference of the International Speech Communication Association (INTERSPEECH)
roedunet;International Conference on Networking in Education and Research (RoEduNet)
vlsi;IEEE/IFIP International Conference on Very Large Scale Integration of System-on-Chip (VLSI-SOC)
asiaccsscc;International Workshop on Security in Blockchain and Cloud Computing (SBC)
softcomp;International Conference on Soft Computing Models in Industrial and Environmental Applications (SOCO)
analco;Workshop on Analytic Algorithmics and Combinatorics (ANALCO)
emcis;European Mediterranean and Middle Eastern Conference on Information Systems (EMCIS)
jfla;Journées francophones des langages applicatifs (JFLA)
wcnc;IEEE Wireless Communications and Networking Conference (WCNC)
ivic;International Visual Informatics Conference (IVIC)
tg;TeraGrid Conference (TG)
globe;International Conference on Data Management in Grid and P2P Systems (Globe)
rethics-ws;Workshop on Ethics in Requirements Engineering Research and Practice (REthics)
wbl;Workshop on Blended Learning (WBL)
somet;New Trends in Software Methodologies Tools and Techniques (SoMeT)
tes2;International Conference of the Thailand Econometrics Society (TES)
iccda;International Conference on Compute and Data Analysis (ICCDA)
m2p;International Workshop Modelling to Program (M2P)
gsi;International Conference on Geometric Science of Information (GSI)
dddas;Dynamic Data Driven Application Systems (DDDAS)
conversations;Chatbot Research and Design Workshop (CONVERSATIONS)
dmin;International Conference on Data Mining (DMIN)
vldb;Very Large Data Bases Conference (VLDB)
comnet;International Conference on Communications and Networking (COMNET)
isce;International Symposium on Consumer Technologies (ISCT)
ccis;International Conference on Cloud Computing and Intelligence Systems (CCIS)
camp;International Workshop on Computer Architectures for Machine Perception (CAMP)
nocs;ACM/IEEE International Symposium on Networks-on-Chips (NOCS)
locweb;International Workshop on Location and the Web (LocWeb)
aspdac;Asia and South Pacific Design Automation Conference (ASP-DAC)
cnsm;Conference on Network and Service Management (CNSM)
bci3;International Winter Workshop/Conference on Brain-Computer Interface (BCI)
aipr2;International Conference on Artificial Intelligence and Pattern Recognition (AIPR)
iwoar;International Workshop on Sensor-based Activity Recognition and Interaction (iWOAR)
IEEEscc;IEEE International Conference on Services Computing (IEEE SCC)
kesamsta;Agent and Multi-Agent Systems Technologies and Applications (KES-AMSTA)
gamenets;International ICST Conference on Game Theory for Networks (GAMENETS)
psd;Privacy in Statistical Databases (PSD)
molva-ws;Workshop on Molecular Graphics and Visual Analysis of Molecular Data (MolVA)
hotpar;USENIX Conference on Hot Topics in Parallelism (HotPar)
miar;International Workshop on Medical Imaging and Augmented Reality (MIAR)
iceed;International Conference on Engineering Education (ICEED)
icdh;International Conference on Digital Health (ICDH)
sies;International Symposium on Industrial Embedded Systems (SIES)
ilc;Infinity in Logic and Computation (ILC)
